Codigo,adm,Intereses,sancion,parqueaderos,otros valores,retroactivo,total,saldo a favor
27402,0,0,0,0,0,0,54000,0
27403,0,0,0,0,0,0,46490,0
27404,0,0,0,0,0,0,37300,0
27501,0,0,0,0,0,0,51000,0
27502,0,0,0,0,0,0,49600,0
27503,0,0,0,0,0,0,10100,0
27504,0,0,0,0,0,0,57000,0
27601,0,0,0,0,0,0,20200,0
27602,0,0,0,0,0,0,170850,0
27603,0,0,0,0,0,0,1428200,0
27604,0,0,0,0,0,0,130600,0
28101,0,0,0,0,0,0,121800,0
28102,0,0,0,0,0,0,578645,0
28103,0,0,0,0,0,0,375830,0
28104,0,0,0,0,0,0,150200,0
28201,0,0,0,0,0,0,119770,0
28202,0,0,0,0,0,0,74200,0
28203,0,0,0,0,0,0,112400,0
28204,0,0,0,0,0,0,88600,0
28301,0,0,0,0,0,0,715900,0
28302,0,0,0,0,0,0,76400,0
28303,0,0,0,0,0,0,113300,0
28304,0,0,0,0,0,0,4576760,0
28401,0,0,0,0,0,0,51600,0
28402,0,0,0,0,0,0,167324,0
28403,0,0,0,0,0,0,73100,0
28404,0,0,0,0,0,0,64100,0
28501,0,0,0,0,0,0,49000,0
28502,0,0,0,0,0,0,282800,0
28503,0,0,0,0,0,0,169600,0
28504,0,0,0,0,0,0,170150,0
28601,0,0,0,0,0,0,218800,0
28602,0,0,0,0,0,0,54000,0
28603,0,0,0,0,0,0,216600,0
28604,0,0,0,0,0,0,318350,0
29101,0,0,0,0,0,0,0,5000
29102,0,0,0,0,0,0,74200,0
29103,0,0,0,0,0,0,10100,0
29104,0,0,0,0,0,0,46948,0
29201,0,0,0,0,0,0,174500,0
29202,0,0,0,0,0,0,53000,0
29203,0,0,0,0,0,0,831328,0
29204,0,0,0,0,0,0,1154440,0
29301,0,0,0,0,0,0,1501176,0
29302,0,0,0,0,0,0,63200,0
29303,0,0,0,0,0,0,69000,0
29304,0,0,0,0,0,0,98700,0
29401,0,0,0,0,0,0,61100,0
29402,0,0,0,0,0,0,1256644,0
